,text
40,"b'Happy Hanukkah! Over these eight nights, we draw inspiration from light that can overpower any darkness, and recomm\xe2\x80\xa6 https://t.co/IxuDfVzDLf'"
41,"b'America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today, they\xe2\x80\xa6 https://t.co/2Gn7sGTG90'"
42,"b'I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doi\xe2\x80\xa6 https://t.co/Mnydz2BMZX'"
43,b'Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me\xe2\x80\xa6 https://t.co/noTTWJDrlv'
44,b'RT @ObamaFoundation: The Obama Presidential Center represents a historic opportunity to build a world-class museum and public gathering spa\xe2\x80\xa6'
45,"b'When someone shares their story, we see the world through their eyes. I\xe2\x80\x99m looking forward to hearing a few from lea\xe2\x80\xa6 https://t.co/4ZM6S85yuU'"
46,"b'Our future depends on all our young people, including our boys and young men of color, being able to achieve their\xe2\x80\xa6 https://t.co/TaRXBwtm9v'"
47,"b'Of course, @MichelleObama\xe2\x80\x99s my wife, so I\xe2\x80\x99m a little biased here. But she also happens to be brilliant, funny, wise\xe2\x80\xa6 https://t.co/bhzH5QSA0x'"
48,"b'Michelle and I are heartbroken for everybody who\xe2\x80\x99s lost so much in California, and grateful for the heroism of the\xe2\x80\xa6 https://t.co/4sNwd1l283'"
49,"b""To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your ser\xe2\x80\xa6 https://t.co/ypSU5ocwN2"""
50,b'Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The chang\xe2\x80\xa6 https://t.co/KtOmsuUdHh'
51,"b'Today is the day. Today, it\xe2\x80\x99s your turn to raise your voice to change the course of this country for the better. So\xe2\x80\xa6 https://t.co/PHQApoHdgr'"
52,"b'If you take that power and vote, something powerful happens. Change happens. Hope happens. And with each new step w\xe2\x80\xa6 https://t.co/QwBCsv2WKS'"
53,"b'When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed per\xe2\x80\xa6 https://t.co/IqykmSWOMo'"
54,"b'When you vote, you have the power to protect voting rights. To make sure our criminal justice system treats everyon\xe2\x80\xa6 https://t.co/KmjBq77g5M'"
55,"b""When we've been at such crossroads before, Americans have made the right choice. Not because we sat back and waited\xe2\x80\xa6 https://t.co/Rrxma5NCX1"""
56,b'Tomorrow\xe2\x80\x99s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Ma\xe2\x80\xa6 https://t.co/9Vw2V9sSLv'
57,"b'Speaking of preexisting conditions, open enrollment starts today. If you or someone you know needs health care, vis\xe2\x80\xa6 https://t.co/VKJHRTRNY2'"
58,"b'Elections matter. You have the power to protect a family\xe2\x80\x99s health care. Make a plan, grab some friends, and vote: https://t.co/rY8Ip1km9p'"
59,"b""While we're talking about preexisting conditions, the ACA is the law that finally protected your coverage for preex\xe2\x80\xa6 https://t.co/tixOSz0DNP"""
60,"b""Not sure who and what you can vote for? Head over to https://t.co/SHxg6ael0O to look up your state, learn who's run\xe2\x80\xa6 https://t.co/ATph6fzt75"""
61,b'Your vote can decide the health care of millions. Your voice can determine the character of our country. You have p\xe2\x80\xa6 https://t.co/ou6DL1g1b6'
62,b'We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful r\xe2\x80\xa6 https://t.co/X9SED9pg8X'
63,"b'The last presidential election turned on fewer than 100,000 votes in three states. More people go to Coachella. The\xe2\x80\xa6 https://t.co/JtJlYxwGbf'"
64,b'America is always at our best when we look out for each other. Please do what you can to help people recover and re\xe2\x80\xa6 https://t.co/p53FdzYe97'
65,b'I\xe2\x80\x99m so proud of the work @MichelleObama has done over the years to ensure adolescent girls have access to education\xe2\x80\xa6 https://t.co/oMXzcgI4l2'
66,b'Congratulations to Drew Brees on the all time passing record. Always a class act.'
67,"b'Happy Anniversary, @MichelleObama. For 26 years, you\xe2\x80\x99ve been an extraordinary partner, someone who can always make\xe2\x80\xa6 https://t.co/csomlGbL1B'"
68,"b'Today, I\xe2\x80\x99m proud to endorse even more Democratic candidates who aren\xe2\x80\x99t just running against something, but for some\xe2\x80\xa6 https://t.co/oqewS0Y8vZ'"
69,"b'From civil servants to organizers, the young people I met in Amsterdam today are doing the hard work of change. And\xe2\x80\xa6 https://t.co/mlAp2SRZlP'"
70,"b'The antidote to government by a powerful few is government by the organized, energized many. This National Voter Re\xe2\x80\xa6 https://t.co/3W5pfaUdKd'"
71,"b'The first class of Obama Fellows is full of leaders like Keith\xe2\x80\x94hardworking, innovative, and dedicated to partnering\xe2\x80\xa6 https://t.co/nOd6FzH23n'"
72,"b'We will always remember everyone we lost on 9/11, thank the first responders who keep us safe, and honor all who de\xe2\x80\xa6 https://t.co/ku270JQnwl'"
73,"b""RT @nowthisnews: If you still don't think the midterms will affect you, @BarackObama is back to spell out just how important they are https\xe2\x80\xa6"""
74,b'Today I\xe2\x80\x99m at the University of Illinois to deliver a simple message to young people all over the country: You need\xe2\x80\xa6 https://t.co/brM6Vd7j2R'
75,b'Yesterday I met with high school students on Chicago\xe2\x80\x99s Southwest side who spent the summer learning to code some pr\xe2\x80\xa6 https://t.co/hY9B0mSQB9'
76,b'Congratulations to Hawaii for winning the Little League World Series! You make America very proud. \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe https://t.co/8Un7LPXgX1'
77,b'Our statement on the passing of Senator John McCain: https://t.co/3GBjNYxoj5'
78,"b'Aretha helped define the American experience. In her voice, we could feel our history, all of it and in every shade\xe2\x80\xa6 https://t.co/hUcQpbdydq'"
79,"b'Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals, the idea that a\xe2\x80\xa6 https://t.co/mMVBHEBzsv'"
80,"b'I\xe2\x80\x99m confident that, together, they\xe2\x80\x99ll strengthen this country we love by restoring opportunity, repairing our allia\xe2\x80\xa6 https://t.co/CgiImgqCDD'"
81,"b'Today I\xe2\x80\x99m proud to endorse such a wide and impressive array of Democratic candidates \xe2\x80\x93 leaders as diverse, patrioti\xe2\x80\xa6 https://t.co/i0MECnqfJr'"
82,"b""Mandela Day is about taking action to change the world for the better. In these young people, I see Madiba's exampl\xe2\x80\xa6 https://t.co/iT1v545C2L"""
83,"b'This week, I\xe2\x80\x99m traveling to Africa for the first time since I left office \xe2\x80\x93 a continent of wonderful diversity, thr\xe2\x80\xa6 https://t.co/UDROtalUlX'"
84,b'RT @MichelleObama: Sometimes truth transcends party. https://t.co/TeFM7NmNzU'
85,b'Congratulations to the @Capitals! This @NHLBlackhawks fan knows what it\xe2\x80\x99s like to lift that cup \xe2\x80\x93 and I\xe2\x80\x99m happy for\xe2\x80\xa6 https://t.co/9LG5lxLQC7'
86,"b'\xe2\x80\x9cLow plastic stool, cheap but delicious noodles, cold Hanoi beer.\xe2\x80\x9d This is how I\xe2\x80\x99ll remember Tony. He taught us abo\xe2\x80\xa6 https://t.co/l79o6OyNAT'"
87,"b'This National Gun Violence Awareness Day, show your commitment to keeping our kids safe from gun violence. Then, fo\xe2\x80\xa6 https://t.co/Nr5qxK8sgu'"
88,"b'We can never truly repay the debt we owe our fallen heroes. But we can remember them, honor their sacrifice, and af\xe2\x80\xa6 https://t.co/iHLhFdhoZQ'"
89,b'This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle a\xe2\x80\xa6 https://t.co/XN7anzCTst'
90,"b'Happy Mother\xe2\x80\x99s Day to every mom out there, especially the remarkable moms in my life, @MichelleObama and my mother-\xe2\x80\xa6 https://t.co/QsZPuZ2OoJ'"
91,b'There are few issues more important to the security of the US than the potential spread of nuclear weapons or the p\xe2\x80\xa6 https://t.co/ym4YTPpbWl'
92,b'RT @MichelleObama: Happy #CollegeSigningDay! So excited to be in Philly to celebrate all the young people making the commitment to higher e\xe2\x80\xa6'
93,"b'These talented young people will create a better future not just in Africa, but around the world. I can\xe2\x80\x99t wait to s\xe2\x80\xa6 https://t.co/0YgQxnOrz9'"
94,b'Our statement on the passing of Former First Lady Barbara Bush: https://t.co/MhTVYCL9Nj'
95,b'RT @ObamaFoundation: We just announced the inaugural class of #ObamaFellows. These 20 civic leaders have carried out inspiring work around\xe2\x80\xa6'
96,"b'RT @ObamaFoundation: This week\xe2\x80\x9450 years since Dr. Martin Luther King, Jr. was killed\xe2\x80\x94@BarackObama and @RepJohnLewis sat down with a group o\xe2\x80\xa6'"
97,b'Incredible to have a Chicago team in the Final Four. I\xe2\x80\x99ll take that over an intact bracket any day! Congratulations\xe2\x80\xa6 https://t.co/V9IbaSlbIp'
