,text
45,"b'On International Women\xe2\x80\x99s Day, we honor women worldwide for their vital role in shaping and strengthening our commun\xe2\x80\xa6 https://t.co/JD1kyPrCiB'"
46,"b'Women\xe2\x80\x99s unemployment rate is down to 3.6% - was 7.9% in January, 2011. Things are looking good!'"
47,b'We are apprehending record numbers of illegal immigrants - but we need the Wall to help our great Border Patrol Agents!'
48,b'\xe2\x80\x9cThis is as good a time as I can remember to be an American Worker. We have the strongest economy in the world.\xe2\x80\x9d  S\xe2\x80\xa6 https://t.co/LsaMQg5yu0'
49,b'Both the Judge and the lawyer in the Paul Manafort case stated loudly and for the world to hear that there was NO C\xe2\x80\xa6 https://t.co/awiZEepZwl'
50,b'PRESIDENTIAL HARASSMENT!'
51,"b'I cannot believe the level of dishonesty in the media. It is totally out of control, but we are winning!'"
52,b'Thank you @foxandfriends. Great show!'
53,b'The Wall is being built and is well under construction. Big impact will be made. Many additional contracts are clos\xe2\x80\xa6 https://t.co/XfDeiKwnb2'
54,b'Breaking News @MSNBC: \xe2\x80\x9cCohen\xe2\x80\x99s lawyer contradicts Cohen\xe2\x80\x99s testimony about never seeking a Presidential Pardon.\xe2\x80\x9d'
55,b'We are on track to APPREHEND more than one million people coming across the Southern Border this year. Great job by\xe2\x80\xa6 https://t.co/419ofomA0t'
56,"b'It was not a campaign contribution, and there were no violations of the campaign finance laws by me. Fake News!'"
57,"b'Democrats just blocked @FoxNews from holding a debate. Good, then I think I\xe2\x80\x99ll do the same thing with the Fake News\xe2\x80\xa6 https://t.co/4Mz4bD2bu0'"
58,b'Wall Street Journal: \xe2\x80\x9cMore migrant families crossing into the U.S. illegally have been arrested in the first five m\xe2\x80\xa6 https://t.co/6Bd6gLXAfi'
59,b'Congressman Chris Stewart: \xe2\x80\x9cNo one is accusing the President of a crime and yet they (the Democrats) are issuing hu\xe2\x80\xa6 https://t.co/GliekdW01z'
60,b'American Workforce Policy Advisory Board Meeting at the @WhiteHouse! https://t.co/izb2tTrINB'
61,b'It is shameful that House Democrats won\xe2\x80\x99t take a stronger stand against Anti-Semitism in their conference. Anti-Sem\xe2\x80\xa6 https://t.co/C8zcy0bS50'
62,"b'Senate Republicans are not voting on constitutionality or precedent, they are voting on desperately needed Border S\xe2\x80\xa6 https://t.co/t5jYikqDBN'"
63,"b""RT @DonaldJTrumpJr: Jim Jordan: No evidence of Trump colluding with Russia, but 'all kinds' showing Clinton campaign did https://t.co/XR2hU\xe2\x80\xa6"""
64,b'Weirdo Tom Steyer doesn\xe2\x80\x99t have the \xe2\x80\x9cguts\xe2\x80\x9d or money to run for President. He\xe2\x80\x99s all talk! https://t.co/klmVsCmeNE'
65,b'RT @DonaldJTrumpJr: Weird that all of a sudden the Fake Dossier author (paid for by Hillary and the DNC etc) no longe wants to show up and\xe2\x80\xa6'
66,b'RT @IngrahamAngle: Tune in tonight for blockbuster analysis of the Dems\xe2\x80\x99 colossally stupid decision to overreach with overbroad subpoenas..\xe2\x80\xa6'
67,"b'Hans Von Spakovsky, \xe2\x80\x9cI haven\xe2\x80\x99t seen any evidence of actual violations of the law, which is usually a basis before y\xe2\x80\xa6 https://t.co/jXr4mCdfuV'"
68,"b'RT @Uncle_Jimbo: .@JerryNadler admits on #CNN they have no proof of Obstruction by @realDonaldTrump it\'s just his ""personal opinion""\n\nMeet\xe2\x80\xa6'"
69,"b'RT @GOPChairwoman: While @realDonaldTrump was successful in the private sector, career politicians enrich themselves by spending decades in\xe2\x80\xa6'"
70,b'RT @PressSec: Statement on Chairman Nadler\xe2\x80\x99s fishing expedition. https://t.co/tBsVzrtGYg'
71,"b'\xe2\x80\x9c(Crooked) Hillary Clinton confirms she will not run in 2020, rules out a third bid for White House.\xe2\x80\x9d Aw-shucks, do\xe2\x80\xa6 https://t.co/0Hq0HuMcqO'"
72,"b'....Scott has helped us to lower drug prices, get a record number of generic drugs approved and onto the market, an\xe2\x80\xa6 https://t.co/4q8HWSUU52'"
73,"b'Scott Gottlieb, who has done an absolutely terrific job as Commissioner of the FDA, plans to leave government servi\xe2\x80\xa6 https://t.co/HcDpAf2FHK'"
74,"b'Just a few moments ago, I signed an EO addressing one of our nation\xe2\x80\x99s most heartbreaking tragedies: VETERANS SUICID\xe2\x80\xa6 https://t.co/YWrXbpu5EF'"
75,b'Our great First Lady (@FLOTUS) will be doing a LIVE show TODAY at 1:00 PM PT with the terrific @EricBolling at the\xe2\x80\xa6 https://t.co/6cMfzmy64Q'
76,b'Republican Approval Rating just hit 93%. Sorry Haters! MAKE AMERICA GREAT AGAIN!'
77,b'PRESIDENTIAL HARASSMENT!'
78,b'The greatest overreach in the history of our Country. The Dems are obstructing justice and will not get anything do\xe2\x80\xa6 https://t.co/i1KyEunDpQ'
79,"b'\xe2\x80\x9cHIV Is Cured In 2nd Patient, Doctors Report.\xe2\x80\x9d @nytimes  Such great news for so many. Tremendous progress being made!'"
