,text
536,b'https://t.co/wjqVvTqeky'
537,"b'RT @LindaSuhler: Dear God,\nThank you for answering our prayers.\nA grateful Nation\n\n#GodBlessAmerica\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #PresidentTrump #ElectionDay https://\xe2\x80\xa6'"
538,"b'RT @GOPChairwoman: The entire premise of this story, which received wall-to-wall coverage, was based on ""evidence"" the reporters admitted t\xe2\x80\xa6'"
539,b'RT @parscale: This is just one of many fake news stories over the last several years. Sad so many journalists have lost their integrity. I\xe2\x80\xa6'
540,b'RT @dbongino: Latino Job Approval of Trump SURGES in Midst of Govt Shutdown Over Border Wall Funding https://t.co/HAqstQDGw5'
541,b'RT @dbongino: When are we going to start investigating the REAL collusion scandal? The collusion between the Clinton &amp; Obama teams and fore\xe2\x80\xa6'
542,"b'RT @SebGorka: ""We will b protected by grt men &amp; women of r military &amp; law enforcmt &amp; most importantly, we will b protected by God"" https://\xe2\x80\xa6'"
543,b'RT @dbongino: We called it. FAKE NEWS!\n\n\xe2\x80\x9cMore Buzzfeed B.S.\xe2\x80\x9d https://t.co/aOIPJJu0vH'
544,b'RT @johncardillo: I told you all that the BuzzFeed story was nonsense. https://t.co/gbTXPjpVtk'
545,b'Just a son who loves his Dad. Nice! https://t.co/ZI4012Ld7S'
546,b'RT @SchnurreZueri: @sethweathers @BuzzFeedNews Sadly so many will never get the memo that it was fake!'
547,"b'I will be making a major announcement concerning the Humanitarian Crisis on our Southern Border, and the Shutdown,\xe2\x80\xa6 https://t.co/A0fvqNgwmq'"
548,b'https://t.co/6xciJ0ubp0'
549,b'AMERICA FIRST!'
550,b'MAKE AMERICA GREAT AGAIN!'
551,b'Never seen the Republican Party so unified. No \xe2\x80\x9cCave\xe2\x80\x9d on the issue of Border and National Security. A beautiful thi\xe2\x80\xa6 https://t.co/lTISnkv07Y'
552,"b'Kevin Corke, @FoxNews \xe2\x80\x9cDon\xe2\x80\x99t forget, Michael Cohen has already been convicted of perjury and fraud, and as recently\xe2\x80\xa6 https://t.co/SriWVRUE1E'"
553,b'Another big Caravan heading our way. Very hard to stop without a Wall!'
554,b'\xe2\x80\x9cIt\xe2\x80\x99s the Democrats keeping everything closed.\xe2\x80\x9d @JimInhofe  So true!'
555,"b'Why would Nancy Pelosi leave the Country with other Democrats on a seven day excursion when 800,000 great people ar\xe2\x80\xa6 https://t.co/1R0q2MBPUV'"
556,b'Border rancher: \xe2\x80\x9cWe\xe2\x80\x99ve found prayer rugs out here. It\xe2\x80\x99s unreal.\xe2\x80\x9d  Washington Examiner   People coming across the So\xe2\x80\xa6 https://t.co/Svh1GTGQRN'
557,"b'Gregg Jarrett: \xe2\x80\x9cMueller\xe2\x80\x99s prosecutors knew the \xe2\x80\x9cDossier\xe2\x80\x9d was the product of bias and deception.\xe2\x80\x9d It was a Fake, jus\xe2\x80\xa6 https://t.co/LEeIggEQVH'"
558,"b'\xe2\x80\x9cIn 2018 alone, 20,000 illegal aliens with criminal records were apprehended trying to cross the Border, and there\xe2\x80\xa6 https://t.co/fUkJGuQgGs'"
559,"b'Thank you to Amy Kremer, Women for Trump Co-Founder, for doing such a great interview with Martha MacCallum...and b\xe2\x80\xa6 https://t.co/FJFUs3JqKc'"
560,"b'RT @realDonaldTrump: For decades, politicians promised to secure the border, fix our trade deals, bring back our factories, get tough on Ch\xe2\x80\xa6'"
561,"b'RT @realDonaldTrump: ....I am doing exactly what I pledged to do, and what I was elected to do by the citizens of our great Country. Just a\xe2\x80\xa6'"
562,b'RT @Lrihendry: @realDonaldTrump They are eaten alive by hate for our President &amp; his voters! \n\nThey care more about illegal immigrants than\xe2\x80\xa6'
563,b'So funny to watch Schumer groveling. He called for the firing of bad cop James Comey many times - UNTIL I FIRED HIM!'
564,b'The Left has become totally unhinged. They no longer care what is Right for our Countrty!'
565,b'It is becoming more and more obvious that the Radical Democrats are a Party of open borders and crime. They want no\xe2\x80\xa6 https://t.co/okBk72spet'
566,"b'There are now 77 major or significant Walls built around the world, with 45 countries planning or building Walls. O\xe2\x80\xa6 https://t.co/63DhNXLHhd'"
567,b'Great being with the National Champion Clemson Tigers last night at the White House. Because of the Shutdown I serv\xe2\x80\xa6 https://t.co/bsowttBjnr'
568,b'Congratulations @ClemsonFB! https://t.co/w8viax0OWY'
569,b'Why is Nancy Pelosi getting paid when people who are working are not?'
570,b'RT @TomFitton: We must stand with the rule of law against the coup targeting @RealDonaldTrump. https://t.co/wmox2XM7x8 https://t.co/8NY79Hv\xe2\x80\xa6'
571,"b'RT @TomFitton: For the first time in a generation, we have a president who is beginning to tell the truth about the crisis on the border. @\xe2\x80\xa6'"
572,"b""RT @paulsperry_: So...by the FBI's post-Trump standards for C.I. investigations, would this off-mike exchange between Obama &amp; Putin's deput\xe2\x80\xa6"""
573,"b""RT @paulsperry_: BREAKING: Inspector General Michael Horowitz still does NOT have all of Peter Strzok's and Lisa Page's texts, even though\xe2\x80\xa6"""
574,"b'RT @charliekirk11: GREAT AGAIN:\n\nPrior to 2018, unemployment has only been below 4% 5 times since 1970\n\nUnder Donald Trump, in 2018, unempl\xe2\x80\xa6'"
575,"b'RT @charliekirk11: No one accused Obama of being a Russian agent after he asked for \xe2\x80\x9cmore flexibility\xe2\x80\x9d until after the the election, or whe\xe2\x80\xa6'"
576,b'RT @MZHemingway: NYT Reveals FBI Retaliated Against Trump For Lawfully Firing Comey https://t.co/LwJ7w1ctom'
577,"b'RT @DonaldJTrumpJr: Since January 1, neither CNN nor MSNBC has booked a single Angel Mom \xe2\x80\x94 mothers of children brutally murdered by illegal\xe2\x80\xa6'"
578,"b'RT @DonaldJTrumpJr: Worth the read. \n\nI\xe2\x80\x99m A Senior Trump Official, And I Hope A Long Shutdown Smokes Out The Resistance https://t.co/6ahfOl\xe2\x80\xa6'"
579,b'RT @PARISDENNARD: I trust a rancher on the Southern border more than a liberal politician from Northern California https://t.co/mo4oWe1SnI'
580,b'Polls are now showing that people are beginning to understand the Humanitarian Crisis and Crime at the Border. Numb\xe2\x80\xa6 https://t.co/Ds3sNXub7c'
581,b'A big new Caravan is heading up to our Southern Border from Honduras. Tell Nancy and Chuck that a drone flying arou\xe2\x80\xa6 https://t.co/kc4H4PNR54'
582,"b'Volkswagen will be spending 800 million dollars in Chattanooga, Tennessee. They will be making Electric Cars. Congr\xe2\x80\xa6 https://t.co/BtLvwvepcv'"
583,"b'Just announced that Veterans unemployment has reached an 18 year low, really good news for our Vets and their famil\xe2\x80\xa6 https://t.co/iU676pPe6o'"
584,b'The rank and file of the FBI are great people who are disgusted with what they are learning about Lyin\xe2\x80\x99 James Comey\xe2\x80\xa6 https://t.co/4zcYDrMv9s'
585,"b'....I am doing exactly what I pledged to do, and what I was elected to do by the citizens of our great Country. Jus\xe2\x80\xa6 https://t.co/FN809gnJ7a'"
586,"b'For decades, politicians promised to secure the border, fix our trade deals, bring back our factories, get tough on\xe2\x80\xa6 https://t.co/EsmNE87U9L'"
587,b'Spoke w/ President Erdogan of Turkey to advise where we stand on all matters including our last two weeks of succes\xe2\x80\xa6 https://t.co/v9g0jPn3H4'
588,"b'RT @DonaldJTrumpJr: \xe2\x80\x98Angel mom\xe2\x80\x99 demands Trump\xe2\x80\x99s wall, \xe2\x80\x98we\xe2\x80\x99ve become collateral damage\xe2\x80\x99 https://t.co/FoUPO11tmM'"
589,b'RT @DonaldJTrumpJr: Silence of the Moms: Media Refuse to Discuss Angel Families https://t.co/AoVIquJge2 via @BreitbartNews'
590,"b""RT @WhiteHouse: President Trump Delivers Remarks at the American Farm Bureau Federation's 100th Annual Convention https://t.co/tMWj5zj3K0"""
591,b'Getting ready to go on stage at the #AFBF100 in New Orleans - packed house! I will try and match the great game pla\xe2\x80\xa6 https://t.co/JvTpUlkus6'
592,b'https://t.co/w5X8jqvtiS'
593,"b'The Fake News gets crazier and more dishonest every single day. Amazing to watch as certain people covering me, and\xe2\x80\xa6 https://t.co/kIEcksBJbm'"
594,b'\xe2\x80\x9cDems in Puerto Rico as Shutdown hits day 24.\xe2\x80\x9d @foxandfriends'
595,"b'Nancy and Cryin\xe2\x80\x99 Chuck can end the Shutdown in 15 minutes. At this point it has become their, and the Democrats, fault!'"
596,b'I\xe2\x80\x99ve been waiting all weekend. Democrats must get to work now. Border must be secured!'
597,"b'RT @GOPChairwoman: Smugglers are flooding our communities with drugs.\n\n*300 Americans die each week from heroin, 90% of it comes from south\xe2\x80\xa6'"
598,b'RT @GOPChairwoman: Economic policies that @realDonaldTrump and @IvankaTrump have championed are producing some fantastic results for Americ\xe2\x80\xa6'
599,"b'RT @GeraldoRivera: Based on the record, the allegation/suggestion that the #FBI came close to investigating @realDonaldTrump as a Russian s\xe2\x80\xa6'"
600,"b'RT @GOPChairwoman: Chuck Schumer and Nancy Pelosi are not negotiating in good faith with @realDonaldTrump.\n \nInstead, Congressional Democra\xe2\x80\xa6'"
601,"b""RT @GOPChairwoman: It didn't get the attention it deserved, but @realDonaldTrump recently signed a bill into law that will empower women al\xe2\x80\xa6"""
602,b'\xe2\x80\x9cGas prices drop across the United States because President Trump has deregulated Energy and we are now  producing\xe2\x80\xa6 https://t.co/OPhGVLtuX9'
603,"b'....Border is eventually going to be militarized and defended or the United States, as we have known it, is going t\xe2\x80\xa6 https://t.co/PSdYpgClqn'"
604,"b'The Trump portrait of an unsustainable Border Crisis is dead on. \xe2\x80\x9cIn the last two years, ICE officers made 266,000\xe2\x80\xa6 https://t.co/DIeYaeQrCr'"
605,"b'Best line in the Elizabeth Warren beer catastrophe is, to her husband, \xe2\x80\x9cThank you for being here. I\xe2\x80\x99m glad you\xe2\x80\x99re h\xe2\x80\xa6 https://t.co/oJc4xd0ztN'"
606,"b'If Elizabeth Warren, often referred to by me as Pocahontas, did this commercial from Bighorn or Wounded Knee instea\xe2\x80\xa6 https://t.co/iBFJ5jsr2F'"
607,"b'So sorry to hear the news about Jeff Bozo being taken down by a competitor whose reporting, I understand, is far mo\xe2\x80\xa6 https://t.co/ihKoPOyQZZ'"
608,"b'....Likewise, do not want the Kurds to provoke Turkey. Russia, Iran and Syria have been the biggest beneficiaries o\xe2\x80\xa6 https://t.co/wADyQZ15eg'"
609,"b'Starting the long overdue pullout from Syria while hitting the little remaining ISIS territorial caliphate hard, an\xe2\x80\xa6 https://t.co/IsQCp2ES5s'"
610,b'Wish I could share with everyone the beauty and majesty of being in the White House and looking outside at the snow\xe2\x80\xa6 https://t.co/7mci5PqAs0'
611,b'Thousands of illegal aliens who have committed sexual crimes against children are right now in Texas prisons. Most\xe2\x80\xa6 https://t.co/DJF95PoNKx'
612,"b'The damage done to our Country from a badly broken Border - Drugs, Crime and so much that is bad - is far greater t\xe2\x80\xa6 https://t.co/ljYwJAqAFO'"
613,"b'I\xe2\x80\x99m in the White House, waiting. The Democrats are everywhere but Washington as people await their pay. They are ha\xe2\x80\xa6 https://t.co/NDBmrpWNvb'"
614,b'The building of the Wall on the Southern Border will bring down the crime rate throughout the entire Country!'
615,b'Democrats are saying that DACA is not worth it and don\xe2\x80\x99t want to include in talks. Many Hispanics will be coming ov\xe2\x80\xa6 https://t.co/3pdTiBOaCp'
616,b'I will be interviewed by Jeanine Pirro at 9:00 P.M. on @FoxNews. Watch @JesseBWatters before and @greggutfeld after\xe2\x80\xa6 https://t.co/ZGdntcwrzN'
617,b'https://t.co/3IH1yW2eTg'
618,b'We have a massive Humanitarian Crisis at our Southern Border. We will be out for a long time unless the Democrats c\xe2\x80\xa6 https://t.co/SgnYIlngkR'
619,b'....I do have a plan on the Shutdown. But to understand that plan you would have to understand the fact that I won\xe2\x80\xa6 https://t.co/hu2uHx1GvU'
620,"b'I just watched a Fake reporter from the Amazon Washington Post say the White House is \xe2\x80\x9cchaotic, there does not seem\xe2\x80\xa6 https://t.co/2f1GMddbdV'"
621,b'Democrats could solve the Shutdown in 15 minutes! Call your Dem Senator or Congresswoman/man. Tell them to get it done! Humanitarian Crisis.'
622,"b'23% of Federal inmates are illegal immigrants. Border arrests are up 240%. In the Great State of Texas, between 201\xe2\x80\xa6 https://t.co/Gni9Vvz4rB'"
623,"b'Democrats should come back to Washington and work to end the Shutdown, while at the same time ending the horrible h\xe2\x80\xa6 https://t.co/kIz5PU3to2'"
624,"b'Lyin\xe2\x80\x99 James Comey, Andrew McCabe, Peter S and his lover, agent Lisa Page, &amp; more, all disgraced and/or fired and ca\xe2\x80\xa6 https://t.co/sdzlOf2L47'"
625,"b'I have been FAR tougher on Russia than Obama, Bush or Clinton. Maybe tougher than any other President. At the same\xe2\x80\xa6 https://t.co/P6PuseTkim'"
626,"b'.....who is being totally protected by his best friend, Bob Mueller, &amp; the 13 Angry Democrats - leaking machines wh\xe2\x80\xa6 https://t.co/4h7ZsZx3Jn'"
627,b'....the FBI was in complete turmoil (see N.Y. Post) because of Comey\xe2\x80\x99s poor leadership and the way he handled the C\xe2\x80\xa6 https://t.co/FVmQRURRBe'
628,"b'...Funny thing about James Comey. Everybody wanted him fired, Republican and Democrat alike. After the rigged &amp; bot\xe2\x80\xa6 https://t.co/r5tKMsOxMu'"
629,"b'Wow, just learned in the Failing New York Times that the corrupt former leaders of the FBI, almost all fired or for\xe2\x80\xa6 https://t.co/w6DbjxRfnC'"
630,b'.@CNN called a San Diego news station (@KUSINews) for negative reports on the Wall. When the station said that Wall\xe2\x80\xa6 https://t.co/nigpO3Oixw'
631,"b'Drug prices declined in 2018, the first time in nearly half a century. During the first 19 months of my Administrat\xe2\x80\xa6 https://t.co/xx4B9lKTx8'"
632,"b'I look forward to hosting, right out of the great State of South Carolina, the 2019 NCAA Football Champion Clemson\xe2\x80\xa6 https://t.co/IByyRxfwYa'"
633,b'RT @WhiteHouse: This is common sense. Congress must pass a bill that ends the crisis at our border. https://t.co/wD0PPKfpNM'
634,"b'RT @WhiteHouse: This afternoon, President Trump hosted a roundtable discussion with State, local, and community leaders, who spoke on how t\xe2\x80\xa6'"
635,b'The Fake News Media keeps saying we haven\xe2\x80\x99t built any NEW WALL. Below is a section just completed on the Border. An\xe2\x80\xa6 https://t.co/2RqbrNEznu'
636,"b'...The Steel Barrier, or Wall, should have been built by previous administrations long ago. They never got it done\xe2\x80\xa6 https://t.co/SsrUV1HMyb'"
637,b'Humanitarian Crisis at our Southern Border. I just got back and it is a far worse situation than almost anyone woul\xe2\x80\xa6 https://t.co/qeM5wiUfpO'
638,b'H1-B holders in the United States can rest assured that changes are soon coming which will bring both simplicity an\xe2\x80\xa6 https://t.co/fPL858CYkb'
639,"b'I often said during rallies, with little variation, that \xe2\x80\x9cMexico will pay for the Wall.\xe2\x80\x9d We have just signed a grea\xe2\x80\xa6 https://t.co/JSF6l6q4bZ'"
640,b'When I took the Oath of Office.... https://t.co/GDhIqteKpv'
641,"b'We lose 300 Americans a week, 90% of which comes through the Southern Border. These numbers will be DRASTICALLY REDUCED if we have a Wall!'"
642,b'Will be interviewed at the Border by @seanhannity on @FoxNews tonight at 9:00. Enjoy!'
643,b'Dear Diary... https://t.co/NAuMaQW6fl'
644,b'From the Southern Border.... https://t.co/Vgsf5nEZUH'
645,b'RT @SenateGOP: Why do we need border security? This is why. These are the facts. #SecureOurBorder https://t.co/dMpYb3p4Wy'
646,"b'Because of the Democrats intransigence on Border Security and the great importance of Safety for our Nation, I am r\xe2\x80\xa6 https://t.co/PhplWqlvK5'"
647,"b'President Obama, thank you for your great support \xe2\x80\x93 I have been saying this all along! https://t.co/L506g9Aq4z'"
648,b'MAKE AMERICA GREAT AGAIN!'
649,b'Getting ready to leave for the Great State of Texas! #MAGA'
650,b'\xe2\x80\x9cGreat support for Border Security and the Wall.\xe2\x80\x9d @foxandfriends  Even greater than anyone would know! \xe2\x80\x9cPresidents\xe2\x80\xa6 https://t.co/QCFWUjB1qH'
651,"b'There is GREAT unity with the Republicans in the House and Senate, despite the Fake News Media working in overdrive\xe2\x80\xa6 https://t.co/JL5UCh8ukM'"
652,b'Cryin Chuck told his favorite lie when he used his standard sound bite that I \xe2\x80\x9cslammed the table &amp; walked out of th\xe2\x80\xa6 https://t.co/s0M6wHSEjM'
653,"b'RT @dbongino: New Poll: Vast Majority of Voters Believe There is ""Crisis"" or ""Problem"" at U.S. Border https://t.co/bzFimBid26'"
654,b'RT @charliekirk11: Governor Ron DeSantis suspends the horrible Sheriff Scott Israel who is largely responsible for the errors leading up to\xe2\x80\xa6'
655,"b'RT @charliekirk11: Did you know:\n\nAt our Southern Border, in 2018:\n\n1.7 MILLION pounds of narcotics were seized\n\n17,000 criminals were arre\xe2\x80\xa6'"
656,"b'RT @charliekirk11: President Trump is winning this shutdown fight\n\nDemocrats have no message, and are refusing to open government because t\xe2\x80\xa6'"
657,b'RT @charliekirk11: This is why we need a wall\n\nIllegal immigration is a serious threat to our country\n\n90% of all heroin comes across the b\xe2\x80\xa6'
658,"b'Gave an OFF THE RECORD luncheon, somewhat of a White House tradition or custom, to network anchors yesterday - and\xe2\x80\xa6 https://t.co/r6xl4jJQqq'"
659,b'The Mainstream Media has NEVER been more dishonest than it is now. NBC and MSNBC are going Crazy. They report stori\xe2\x80\xa6 https://t.co/zLh9zOR1J1'
660,"b'Just left a meeting with Chuck and Nancy, a total waste of time. I asked what is going to happen in 30 days if I qu\xe2\x80\xa6 https://t.co/NQeyjI5TXJ'"
661,"b""Thank you to all of America's brave police, deputies, sheriffs, and federal law enforcement on National Law Enforce\xe2\x80\xa6 https://t.co/MUgdVhnjb8"""
662,"b'Billions of dollars are sent to the State of California for Forest fires that, with proper Forest Management, would\xe2\x80\xa6 https://t.co/l5Jyjb8lEs'"
663,"b'Our Country is doing so well in so many ways. Great jobs numbers, with a record setting December. We are rebuilding\xe2\x80\xa6 https://t.co/LWGj8t2N8L'"
664,b'Thank you for soooo many nice comments regarding my Oval Office speech. A very interesting experience!'
665,b'https://t.co/Ft6FqQmYfI'
666,"b'Congratulations to a truly great football team, the Clemson Tigers, on an incredible win last night against a power\xe2\x80\xa6 https://t.co/1KtCS9qdVU'"
667,b'Talks with China are going very well!'
668,b'\xe2\x80\x9cThe President is the biggest and best supporter of the Steel Industry in many years. We are now doing really well.\xe2\x80\xa6 https://t.co/9daGoY2lSy'
669,b'Economic numbers looking REALLY good. Can you imagine if I had long term ZERO interest rates to play with like the\xe2\x80\xa6 https://t.co/2rGF18wzy0'
670,"b'Endless Wars, especially those which are fought out of judgement mistakes that were made many years ago, &amp; those wh\xe2\x80\xa6 https://t.co/xib1biZeBG'"
671,b'I am pleased to inform you that I will Address the Nation on the Humanitarian and National Security crisis on our S\xe2\x80\xa6 https://t.co/hm3hcItIR3'
672,b'The Failing New York Times has knowingly written a very inaccurate story on my intentions on Syria. No different fr\xe2\x80\xa6 https://t.co/kQrQPlAbJp'
673,"b'Congressman Adam Smith, the new Chairman of the House Armed Services Committee, just stated, \xe2\x80\x9cYes, there is a provi\xe2\x80\xa6 https://t.co/mWI8gB8CHL'"
674,b'....The Fake News Media in our Country is the real Opposition Party. It is truly the Enemy of the People! We must b\xe2\x80\xa6 https://t.co/Y3KuJpWBAQ'
675,"b'...The Fake News will knowingly lie and demean in order make the tremendous success of the Trump Administration, an\xe2\x80\xa6 https://t.co/0g6A2fx5FD'"
676,"b'With all of the success that our Country is having, including the just released jobs numbers which are off the char\xe2\x80\xa6 https://t.co/Urm1LOV1bb'"
677,b'V.P. Mike Pence and group had a productive meeting with the Schumer/Pelosi representatives today. Many details of B\xe2\x80\xa6 https://t.co/eBowLn7r54'
678,b'Our GREAT MILITARY has delivered justice for the heroes lost and wounded in the cowardly attack on the USS Cole. We\xe2\x80\xa6 https://t.co/1grz5I4OQD'
679,b'Excited to see our friends in Egypt opening the biggest Cathedral in the Middle East. President El-Sisi is moving h\xe2\x80\xa6 https://t.co/3BmIYxMjZF'
680,"b'RT @realDonaldTrump: How do you impeach a president who has won perhaps the greatest election of all time, done nothing wrong (no Collusion\xe2\x80\xa6'"
681,"b'RT @realDonaldTrump: As I have stated many times, if the Democrats take over the House or Senate, there will be disruption to the Financial\xe2\x80\xa6'"
682,b'....The only reason they do not want to build a Wall is that Walls Work! 99% of our illegal Border crossings will e\xe2\x80\xa6 https://t.co/lsbP5iE3OO'
683,"b'\xe2\x80\x9cWe simply cannot allow people to pour into the United States undetected, undocumented, unchecked...\xe2\x80\x9d Barrack Obama\xe2\x80\xa6 https://t.co/yZRRpupNX2'"
684,b'https://t.co/iSFAokoIP7'
685,b'Will be going to Camp David tomorrow morning for meetings on Border Security and many other topics with @WhiteHouse senior staff.'
686,b'AP-NORC POLL: \xe2\x80\x9cImmigration among the top concerns in 2019.\xe2\x80\x9d People want to stop drugs and criminals at the Border.\xe2\x80\xa6 https://t.co/si6bMulzfe'
687,"b'\xe2\x80\x9cThe number of employed Americans has now set a 14th record under President Trump. Over the year, average hourly ea\xe2\x80\xa6 https://t.co/T1VFWK1Bge'"
688,"b'\xe2\x80\x9cJobs up big, plus 312,000. Record number working. Manufacturing best in 20 years (Previous administration said thi\xe2\x80\xa6 https://t.co/glizVLcZC2'"
689,b'V.P. Mike Pence and team just left the White House. Briefed me on their meeting with the Schumer/Pelosi representat\xe2\x80\xa6 https://t.co/EFnReotJeI'
690,"b'Drug makers and companies are not living up to their commitments on pricing. Not being fair to the consumer, or to our Country!'"
691,"b""\xe2\x80\x9cFormer @NYTimes editor Jill Abramson rips paper's \xe2\x80\x98unmistakably anti-Trump\xe2\x80\x99 bias.\xe2\x80\x9d\n\nMs. Abramson is 100% correct.\xe2\x80\xa6 https://t.co/8PZiXgcpOD"""
692,"b'Great Tweet today by Tyler Q. Houlton @SpoxDHS on the #FakeNews being put out by @CNN, a proud member of the Opposi\xe2\x80\xa6 https://t.co/r7ST8KT1Rj'"
693,"b'The Democrats want Billions of Dollars for Foreign Aid, but they don\xe2\x80\x99t want to spend a small fraction of that numbe\xe2\x80\xa6 https://t.co/ZSb2KjNkgl'"
694,"b'We are working hard at the Border, but we need a WALL!  In 2018, 1.7 million pounds of narcotics seized, 17,000 adu\xe2\x80\xa6 https://t.co/xosJ3RS8gQ'"
695,"b'I don\xe2\x80\x99t care that most of the workers not getting paid are Democrats, I want to stop the Shutdown as soon as we are\xe2\x80\xa6 https://t.co/4zSgavwhD6'"
696,"b'Many people currently a part of my opposition, including President Obama &amp; the Dems, have had campaign violations,\xe2\x80\xa6 https://t.co/DMPDaBKIYB'"
697,b'The Democrats could solve the Shutdown problem in a very short period of time. All they have to do is approve REAL\xe2\x80\xa6 https://t.co/Wk7EpL7r4V'
698,b'Great support coming from all sides for Border Security (including Wall) on our very dangerous Southern Border. Tea\xe2\x80\xa6 https://t.co/dLTuhf1AM7'
699,b'Thank you to Kanye West for your nice words. Criminal Justice Reform is now law - passed in a very bipartisan way!'
700,"b'Great new book by Dr. Robert Jeffress, \xe2\x80\x9cChoosing the Extraordinary Life.\xe2\x80\x9d Get it and enjoy!  @LouDobbs'"
701,b'The story in the New York Times regarding Jim Webb being considered as the next Secretary of Defense is FAKE NEWS.\xe2\x80\xa6 https://t.co/1wwN10V5Pz'
702,"b'\xe2\x80\x9cJob growth surges by 312,000 in December\xe2\x80\x9d https://t.co/FCSwxFZjUF'"
703,b'GREAT JOBS NUMBERS JUST ANNOUNCED!'
704,"b'How do you impeach a president who has won perhaps the greatest election of all time, done nothing wrong (no Collus\xe2\x80\xa6 https://t.co/kAHlDXEU3X'"
705,"b'As I have stated many times, if the Democrats take over the House or Senate, there will be disruption to the Financ\xe2\x80\xa6 https://t.co/TdpoTpKce4'"
706,"b'....President Trump deserves a lot of credit, but again, you have the anti-Trump people who are not going to give him a lot of credit.\xe2\x80\x9d'"
707,b'Michael Pillsbury interviewed by @cvpayne: \xe2\x80\x9cThey have the motive of making the President look bad \xe2\x80\x93 instead of Pres\xe2\x80\xa6 https://t.co/LN0PdWVXca'
708,b'https://t.co/jsOrDtwdEa'
709,b'The RNC has a great Chairwoman in Ronna McDaniel and the @GOP has never been stronger. We achieved historic wins wi\xe2\x80\xa6 https://t.co/HvxTc0GyYv'
710,b'https://t.co/JzfXMAPwKP'
711,b'The United States Treasury has taken in MANY billions of dollars from the Tariffs we are charging China and other c\xe2\x80\xa6 https://t.co/pPMP10Birv'
712,b'The Shutdown is only because of the 2020 Presidential Election. The Democrats know they can\xe2\x80\x99t win based on all of t\xe2\x80\xa6 https://t.co/8CnsuJW3jM'
713,b'\xe2\x80\x9cMAGA list: 205 \xe2\x80\x98historic results\xe2\x80\x99 help Trump make case for 2020 re-election\xe2\x80\x9d https://t.co/vtqnUwdhjB'
714,"b'Sadly, there can be no REAL Border Security without the Wall!'"
715,"b'...I remain ready and willing to work with Democrats to pass a bill that secures our borders, supports the agents a\xe2\x80\xa6 https://t.co/Y79slNjE3k'"
716,b'Important meeting today on Border Security with Republican and Democrat Leaders in Congress. Both parties must work\xe2\x80\xa6 https://t.co/BzmCfiecqh'
717,b'Mexico is paying for the Wall through the new USMCA Trade Deal. Much of the Wall has already been fully renovated o\xe2\x80\xa6 https://t.co/GX0AhEMEBE'
718,"b'Here we go with Mitt Romney, but so fast! Question will be, is he a Flake?  I hope not. Would much prefer that Mitt\xe2\x80\xa6 https://t.co/pPdZY29V92'"
719,b'For FAR TOO LONG Senate Democrats have been Obstructing more than 350 Nominations. These great Americans left their\xe2\x80\xa6 https://t.co/P8TbMNTjtb'
720,"b'Do you think it\xe2\x80\x99s just luck that gas prices are so low, and falling? Low gas prices are like another Tax Cut!'"
721,"b'\xe2\x80\x9cKim Jong Un says North Korea will not make or test nuclear weapons, or give them to others - &amp; he is ready to meet\xe2\x80\xa6 https://t.co/skE5eJpEtE'"
722,b'Washington Examiner - \xe2\x80\x9cMAGA list: 205 \xe2\x80\x98historic results\xe2\x80\x99 help Trump make case for 2020 re-election.\xe2\x80\x9d  True!'
723,b'Gas prices are low and expected to go down this year. This would be good!'
724,b'Border Security and the Wall \xe2\x80\x9cthing\xe2\x80\x9d and Shutdown is not where Nancy Pelosi wanted to start her tenure as Speaker! Let\xe2\x80\x99s make a deal?'
725,b'Congratulations to President \n@JairBolsonaro who just made a great inauguration speech - the U.S.A. is with you!'
726,b'One thing has now been proven. The Democrats do not care about Open Borders and all of the crime and drugs that Open Borders bring!'
727,"b'\xe2\x80\x9cGeneral\xe2\x80\x9d McChrystal got fired like a dog by Obama. Last assignment a total bust. Known for big, dumb mouth. Hillar\xe2\x80\xa6 https://t.co/38VGaAi28T'"
728,"b'RT @realDonaldTrump: ....Senator Schumer, more than a year longer than any other Administration in history. These are people who have been\xe2\x80\xa6'"
729,b'RT @realDonaldTrump: Heads of countries are calling wanting to know why Senator Schumer is not approving their otherwise approved Ambassado\xe2\x80\xa6'
730,b'RT @GOPChairwoman: .@realDonaldTrump made sure the men and women of the Coast Guard continue to get paid during the #SchumerShutdown.\n \nMea\xe2\x80\xa6'
731,b'RT @GOPChairwoman: Jobless claims fell last week to a 49-year low. Yet another sign that @realDonaldTrump\xe2\x80\x99s economic policies are working a\xe2\x80\xa6'
732,"b'The Democrats, much as I suspected, have allocated no money for a new Wall. So imaginative! The problem is, without\xe2\x80\xa6 https://t.co/89lVCLyMfi'"
733,b'Happy New Year!'
734,"b'HAPPY NEW YEAR TO EVERYONE, INCLUDING THE HATERS AND THE FAKE NEWS MEDIA! 2019 WILL BE A FANTASTIC YEAR FOR THOSE N\xe2\x80\xa6 https://t.co/wmZjFspKkb'"
735,"b'Dr. Sebastian Gorka, a very good and talented guy, has a great new book just out, \xe2\x80\x9cWhy We Fight.\xe2\x80\x9d Lots of insight - Enjoy!'"
736,b'RT @WhiteHouse: 2018 has been a year of historic accomplishments! https://t.co/6Iq5CFVdwY'
737,b'...Remember this. Throughout the ages some things NEVER get better and NEVER change. You have Walls and you have Wh\xe2\x80\xa6 https://t.co/ed5j8ULKNa'
